,Cycle,A1,A2,A4,A5,A7,A8,B1,B2,B4,B5,B7,B8,C1,C2,C4,C5,C7,C8,D1,D2,D4,D5,D7,D8,E1,E2,E4,E5,E7,E8,F1,F2,F4,F5,F7,F8,G1,G2,G4,G5,G7,G8,H1,H2,H4,H5,H7,H8
,21,780.873958645765,748.870858591301,827.635260705435,814.385549646709,866.762628526306,858.551512136238,906.8012559775,998.151454419387,1038.36599101595,1059.18017117041,1089.03223040903,1003.42586526733,973.711478992667,1045.33782199347,1161.8777773498,1176.12057154402,1291.43416094076,1223.23838554777,857.687097141797,965.018543173388,1000.32250223595,1083.70758873464,1110.09092792104,1051.49529407754,987.048630921052,1035.5072467871,1132.96274977113,1172.71604357113,1171.90285255304,1283.40074923963,1003.60555692272,1057.10844071857,1188.94658891696,1212.92815071979,1270.95242467241,1254.44540729787,823.005524041675,896.984348789584,944.766286303693,1004.52524135915,1082.47080811295,1109.02561940341,968.52213205741,997.273856521597,1073.39711113681,1088.79598083354,1112.43067917191,1069.88046954895
,22,783.37539558447,750.835925428221,831.016796113248,816.132753168031,871.855909443704,861.622962627588,909.275122997029,1000.38583068008,1037.44221340702,1061.53358858231,1094.69479210632,1010.17685066204,983.066244350922,1051.02934937734,1164.35988515522,1179.53115453422,1299.011853907,1229.23011468062,857.510766131783,966.589269314288,1002.99544525201,1083.93357674576,1115.11254711035,1056.10013362103,1018.37299679386,1067.02146162334,1136.41813069159,1175.08499596803,1176.26643550464,1290.52330657779,1006.59078433504,1058.89502943708,1190.57396887775,1214.51838856116,1277.57965379555,1260.68525722195,842.342926938099,916.548984640661,942.780226590253,1005.39498634112,1087.02832684457,1113.42132390717,970.883979023988,1003.64840441645,1074.47771176423,1090.98327461225,1116.24414553608,1074.83237401844
,23,784.506568412449,752.356764784332,833.010034013453,816.641355790597,875.041009053279,865.176321573909,908.597092468479,1000.77565310187,1038.91225232342,1062.10725464332,1097.202478842,1013.80930390174,986.128162014103,1053.5925384932,1165.33872551057,1180.71621231079,1302.48392494623,1233.23313524182,857.830949188151,966.805081908046,1004.22307607783,1083.46798582913,1119.57667037899,1061.06424400209,1028.86783598016,1077.53423146437,1138.03750564794,1176.78967553564,1177.63512122629,1293.62881627825,1006.89006932064,1058.69231942517,1190.54677103431,1214.43023944046,1281.8576406111,1264.87672773677,848.031341192723,921.749348673984,941.560736487265,1003.38937897514,1090.36636927042,1115.16437356774,974.980974784877,1006.8123742431,1074.73528921499,1091.65366794012,1121.22686205432,1077.87572686435
,24,783.938895119335,753.167883565633,833.886964505786,818.339148001746,877.714312335831,868.778135444346,907.856481598929,1000.29705731927,1039.8571206112,1062.67176780496,1099.60828751294,1014.09292480803,987.410999440399,1056.36439438785,1164.02608329135,1181.6625532738,1304.15259180676,1234.89002927634,857.841372818567,967.599244626537,1005.27708804209,1084.85219429846,1121.91208631788,1064.94904763196,1032.21922771702,1079.60453582745,1138.89155841379,1178.84583777941,1179.33209691007,1296.81107513166,1005.54693084262,1057.3920951311,1192.31303098143,1214.98497331419,1286.5125324363,1270.17358406501,848.567119926938,924.263184833829,939.299266891035,1000.6242639726,1091.76339146895,1116.61644156719,976.573915573206,1009.53076789038,1075.549647446,1094.06950678567,1124.35339132334,1079.50656563318
,25,784.368063013639,752.975749783266,835.063974042927,819.431656795908,880.90581857143,871.31148818559,909.506603329354,1003.32306406487,1041.24135629278,1063.56156938535,1102.03831837826,1014.50174127079,989.626381219265,1057.98211033401,1166.03354413466,1181.59888426826,1306.12838466822,1237.68615475153,859.033913374297,969.087667051542,1004.01121283557,1085.91952604637,1123.22192765329,1068.15520187508,1034.31400500749,1080.58544722901,1141.37659174548,1181.52541228972,1180.72572868898,1300.16960410913,1005.10159862713,1056.71776010063,1193.48851854595,1215.54529464027,1290.45050670786,1274.29272928949,848.939188029683,925.68497427819,938.936714481513,998.23289023344,1093.3002120822,1118.25713383661,979.26040903088,1011.93858805841,1076.53994546417,1094.83079938413,1128.08596410446,1080.8156777965
,26,783.706913110121,750.764834449499,837.501858571779,819.693702340366,882.841625739365,871.962276246066,910.132119059292,1003.1454251788,1040.92749389048,1064.54789967024,1105.84625015449,1016.1281503055,991.870857582607,1059.13855990246,1166.04763762725,1183.7522502863,1308.21305989093,1240.8462636102,860.079682796,970.798925817922,1004.1045320098,1087.1767255172,1123.21645923991,1069.99081573024,1034.60610165474,1080.31645926789,1142.5654199098,1182.65303616199,1183.32197070033,1304.57503286003,1004.95644597929,1055.50528441233,1194.40190769188,1217.5825684497,1294.4309421321,1276.72840626764,849.938882977807,924.292141720533,936.990962148788,996.826103172747,1093.36652025944,1118.62994684174,979.349316292056,1014.37091724722,1077.68107366213,1096.46604842205,1130.77587794479,1084.16705347061
,27,785.077819871942,751.680507949576,838.783369264001,819.818222625515,884.541856967466,874.372398730132,911.816377902741,1004.98135302944,1043.20198921381,1065.94761538156,1109.35578042023,1020.77467993299,994.553962881714,1060.5755298517,1169.20476836346,1186.41875874187,1312.07794836273,1243.65593119093,864.268512769254,973.51062005713,1006.48725080835,1087.21339458941,1126.49520409366,1074.0911782191,1034.8774365842,1081.93691049675,1144.80359923789,1185.53796232575,1186.97018517497,1307.96241845494,1005.84025355097,1056.74266052074,1193.83989060928,1219.53486190844,1296.29153131742,1280.09587811707,851.489259281581,924.343817959375,936.543611473671,997.589730513251,1095.71189255332,1120.48545300386,983.222565422345,1016.90376328908,1078.08254940107,1097.84968555558,1135.7736751054,1085.61947554993
,28,784.835073247209,752.53947788869,839.733988802429,819.82798854402,887.142221983897,877.635423648488,909.962953463355,1004.26575539458,1044.57831482841,1068.14069519808,1110.5638764859,1023.08168398632,997.376549260698,1063.53317435724,1170.07074287113,1189.51484065287,1316.34748499652,1248.33386126032,866.938181871765,977.411662132311,1010.40666839063,1089.00832760407,1130.23581693055,1077.4331827155,1035.76399661106,1083.63039027255,1147.08549384266,1188.39526065358,1190.77809612832,1312.13509303906,1006.53573895563,1057.72089991647,1196.5910340227,1224.28529453997,1299.09639697488,1284.18018566237,854.433221183691,924.609685501261,934.950226071006,995.7107871322,1095.37823185687,1121.53921255891,986.302210796196,1018.16341833236,1079.07025041081,1100.1439424049,1139.89216623827,1087.94471822269
,29,785.193639072273,753.839735354311,838.45760954479,820.789023563335,888.075270984403,881.369522173735,909.571249261265,1005.48287524101,1044.96554888796,1069.68293108963,1113.54107858243,1023.35969345045,999.328663983627,1066.53974569488,1170.65772931484,1190.74298844536,1317.95422886375,1249.85567311756,868.130644289086,980.770117209641,1011.9318484419,1088.63406529941,1132.31500697939,1078.98356331793,1038.20239629569,1086.51703227427,1148.67640440543,1190.42156060616,1190.53949126151,1311.80272811869,1006.16945384176,1060.191573533,1200.84133425839,1223.81894807671,1300.73910853534,1287.34266661439,855.8577578276,926.904728005558,935.23989722164,993.151064435888,1095.88554367057,1122.98868489721,989.078970234458,1020.4028772458,1079.64642168593,1100.08174184429,1142.09736331146,1088.56815066882
,30,783.92086646611,752.6312713407,838.304796793657,819.637359771661,887.767054173636,883.879985244874,907.898092233581,1004.34013159453,1043.51596001844,1069.33319464157,1116.75116766968,1021.69126316798,999.413530499786,1068.07404044638,1169.8910056019,1191.69167085414,1317.46724016875,1250.52854958144,865.52322509054,982.133842694198,1010.68233151453,1087.36284148694,1131.54584513765,1076.23378321765,1042.18756566627,1088.81069632208,1148.63982190943,1190.34392587906,1186.80370396631,1310.24470792543,1004.95070462016,1062.41469076972,1205.22741220133,1220.48893398439,1301.8230643268,1288.7798448069,856.051845545685,927.886099355055,936.400728070826,990.30598869147,1094.35984459679,1121.92385368553,990.303711556824,1022.1969709997,1080.68355971552,1096.50074821035,1141.16708640094,1089.80032954563
