A1: Ladder,B1: Subject1 T1 IGH,C1: Subject1 T1 BCR,D1: Subject1 T1 TCR,E1: Subject1 T2 IGH,F1: Subject1 T2 BCR,G1: Subject1 T2 TCR,H1: Subject1 T3 IGH,A2: Subject1 T3 BCR,B2: Subject1 T3 TCR,C2: Subject1 T4 IGH,D2: Subject1 T4 BCR
0.2511697,5.219312,2.315628,1.783127,1.199782,0.8495965,0.5882077,0.3682938,3.213918,3.854532,1.024078,0.1426954
0.2644029,6.487488,2.779397,2.112276,1.372045,0.8571229,0.6153717,0.2944026,4.072181,4.894039,1.268283,0.26229
0.2550044,8.089238,3.375206,2.492268,1.493611,0.9357028,0.696188,0.2946315,5.178993,6.121866,1.507569,0.3646536
0.2306676,10.29316,4.248029,2.89585,1.611908,1.048621,0.7245836,0.4648089,6.520607,7.554588,1.609046,0.2860303
0.2061934,12.89089,5.25181,3.362289,1.764642,1.077532,0.7107482,0.4869981,8.200378,9.301108,1.801198,0.2037616
0.2618794,16.04063,6.610052,3.982928,1.851888,1.317172,0.7684579,0.4630165,10.31303,11.3504,1.728848,0.2164774
0.2195411,19.86278,8.320311,4.842754,2.016683,1.5366,0.7931981,0.4105453,12.91238,13.93978,1.97141,0.2130098
0.1900315,24.45802,10.50105,5.976252,2.234566,1.74517,0.9194517,0.4353418,16.21579,17.10999,2.141702,0.21735
0.2776132,30.13652,13.11092,7.607304,2.683104,1.920385,0.9941282,0.4990344,19.9571,21.05936,2.418033,0.2266188
0.3518381,36.62959,16.32388,9.322836,3.38122,2.187166,1.083936,0.4341025,24.33582,25.67032,2.699568,0.258954
0.2978182,43.98058,20.07632,11.563,4.230275,2.492853,1.095368,0.3975215,29.47954,31.12932,3.467061,0.3502607
0.4235616,52.74495,24.54755,14.36491,5.239202,3.061174,1.175848,0.2947969,35.58894,37.52443,4.626077,0.5416231
0.4682736,62.3731,29.67677,17.7888,6.495086,3.851329,1.136266,0.2967386,42.6368,44.93092,6.0892,0.6282587
0.5701847,73.4699,35.7561,21.87498,8.059198,4.729026,1.179315,0.4051914,50.77573,53.27851,7.989135,0.6601701
0.7779865,85.71183,42.95007,26.62556,10.01975,5.901349,1.317275,0.4471111,59.89014,62.7512,9.770529,0.644999
0.7448139,98.72828,51.06311,32.26804,12.49591,7.342743,1.527965,0.5358305,70.06464,73.32291,11.27964,0.7255807
0.6898603,112.8845,60.31401,38.86258,15.4962,9.173954,1.809731,0.5059533,81.49278,85.21307,13.10713,0.7300677
0.6364775,128.3487,70.86566,46.64272,19.04881,11.44913,2.123921,0.479486,94.31448,98.66358,14.73974,0.8131013
0.7224565,144.8605,82.54063,55.44918,23.24789,14.1042,2.582378,0.4676099,108.1896,113.2472,16.51252,0.8577676
0.8329163,162.3298,95.46676,65.04149,28.33928,17.39588,3.081475,0.3426476,123.2077,129.7989,18.55392,0.8942056
0.9668875,180.4441,109.4384,76.10247,34.20159,21.31009,3.586634,0.4255033,139.6558,147.4278,21.64567,0.8076258
1.181004,199.1256,124.3183,88.36073,40.91722,25.88476,4.239732,0.3665705,157.2898,166.5952,25.43039,0.8867044
1.502126,217.7108,139.9758,101.5814,48.67643,31.26585,5.071898,0.4074845,176.0919,187.3909,30.24241,0.9296994
1.958961,236.4886,156.4593,116.3196,57.33101,37.38108,6.151206,0.3983164,195.3104,209.5819,36.21951,0.9558272
2.465282,254.113,173.8558,132.2746,67.00878,44.22868,7.649643,0.5051904,214.4398,232.5722,42.93026,0.9465394
3.01359,270.6006,191.6127,149.2132,77.96019,52.13535,9.398291,0.6281462,233.9312,255.5057,50.54853,1.062735
3.848666,285.2678,209.4435,167.6704,90.11646,60.8949,11.61166,0.5777192,253.2535,280.3154,59.42435,1.107569
4.849475,298.0869,227.5537,187.09,103.6314,70.92142,14.34194,0.5990968,272.0355,303.4105,69.36182,1.359282
6.08744,308.9138,244.9692,207.1309,118.1244,81.9956,17.65146,0.6850853,290.4469,325.2022,80.51281,1.544708
7.64511,317.5714,261.3911,227.6745,134.291,94.52042,21.37958,0.7251811,306.7403,345.9305,92.63581,1.694481
9.467226,322.9517,276.9849,248.4833,151.9794,107.9525,25.74818,0.8537807,321.2549,364.6049,106.4873,1.866289
11.66953,326.1359,291.0032,268.6382,170.1819,122.2641,30.7138,0.8599429,333.9964,381.5103,121.6472,2.305243
14.1649,327.2126,302.6849,288.1736,189.5025,137.8004,36.54556,0.95011,342.7259,395.2697,137.3325,2.805996
17.0288,326.5352,312.6573,307.2822,209.7112,154.9236,43.14761,1.034687,348.8048,406.9173,155.0181,3.352818
20.15418,323.2494,319.8095,322.974,230.6361,172.5183,50.55073,1.081888,350.5909,414.5076,173.6484,4.02699
23.72961,317.5887,325.0773,337.0347,251.6232,191.4563,58.91915,1.162422,349.2098,417.7655,193.4017,4.890205
27.64977,309.3672,327.7822,348.8089,272.4034,210.7142,68.47034,1.191268,344.7477,418.6809,214.4708,5.847988
31.88665,299.0203,327.7553,357.4176,291.6557,230.1673,78.83717,1.364403,336.7128,412.6135,236.2268,7.178761
36.40732,287.2284,325.0016,363.6041,310.6747,250.0549,90.13426,1.648272,326.2538,403.0748,258.3435,8.662708
41.22009,273.7953,319.48,368.205,328.8363,270.3657,102.5969,1.954871,312.1797,389.9362,281.8345,10.42527
46.60497,258.1469,311.7455,369.2946,344.393,288.3202,116.2264,2.30042,296.0869,374.3722,303.3169,12.51891
52.44213,242.0386,301.8634,367.3163,357.2486,304.7407,130.7061,2.787553,278.1308,355.8688,324.6111,15.06659
58.43052,225.4818,288.5998,362.9262,369.1126,318.6304,146.6431,3.458369,257.4434,335.0244,342.771,18.12094
64.68043,209.2672,274.0207,355.5876,378.1,332.0322,163.5871,4.219756,236.8595,314.173,360.5922,21.75189
